name,affiliation
Zhiyi Hu,Wuhan University
Zhiyi Lu,University of Hong Kong
Zhiyong Feng 0002,Tianjin University
Zhiyuan Zhang,University of California - Davis
Zhong Ming 0001,Shenzhen University
Zhongyuan Jiang,Xidian University
Zhongyuan Ruan,Zhejiang University
Zhou Su,Shanghai University
Zhuhong You,Chinese Academy of Sciences
Zhujin Zhang,Zhengzhou University
Zhuming Bi,Indiana University
Zhuo Yang,Dalian University of Technology
Zi Huang,University of Queensland
Zi'ang Ding,Microsoft
Zia Ul-Qayyum,Allama Iqbal Open University
Zikai Zhang,Beijing Jiaotong University
Ziqiang Shi,Zhejiang University
Zizhong Huang,National University of Defense Technology
Alireza Esfahani,Telecommunications institute
Ariella Richardson,Lev Academic Center
Ayman Radwan,Telecommunications institute
Dong Zhang,Shanghai Academy of Social Sciences
Gerardo I. Simari,South National University
Isao Yagi,Kanagawa Institute of Technology
Mahdi Vasighi,Institute for Advanced Studies in Basic Sciences
Marie Joan Kristine Gloria,The Aspen Institute
Ning Cai 0002,Postal Scientific Research and Planning Academy
Sajid Anwar,Institute of Management Sciences
Senthilkumar Mohan,Vellore Institute of Technology
Shahid Mumtaz,Telecommunications institute
Shonali Krishnaswamy,Institute for Infocomm Research (I2R)
Shuo Liu 0005,Institute of Forensic Science
Taketoshi Yoshida,Japan Advanced Institute of Science and Technology
Tomas Pérez-Acle,University of Valparaíso
Wei Dai,Alibaba Group
Yifeng Liu,China Academy of Electronics and Information Technology
Zengxiang Li,Digital Research Institute
Zonghua Zhang,Institut Mines-Tlcom
