John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Galina Daraganova,"Melbourne School of Psychological Sciences, University of Melbourne, VIC 3010, Australia"
Margaret Hellard,"Centre for Population Health, Burnet Institute, 85 Commercial Road, Melbourne, VIC 3004, Australia"
Emma McBryde,"Department of Medicine (RMH), University of Melbourne, VIC 3010, Australia"
Yoshihisa Kashima,"Melbourne School of Psychological Sciences, The University of Melbourne, Australia"
Dean Lusher,"Faculty of Life and Social Sciences, Swinburne University of Technology, Australia"
Leonie J. Pearson,"Melbourne Sustainable Society Institute, The University of Melbourne, Australia"
Craig Pearson,"Melbourne Sustainable Society Institute, The University of Melbourne, Australia"
Werner Raub,"Department of Sociology/ICS, Utrecht University, Netherlands"
Scott D. McClurg,"Southern Illinois University, United States', 'Northeastern University and Harvard University, United States"
David Lazer,"Northeastern University and Harvard University, United States"
Tobias Heinrich,"University of South Carolina, United States"
Eric Schoon,"School of Sociology, University of Arizona, Tucson, AZ 85721, United States"
Victor Asal,"Department of Political Science, Rockefeller College of Public Affairs and Policy, University at Albany, Albany, NY 12222, United States"
R. Karl Rethemeyer,"Department of Public Administration and Policy, Rockefeller College of Public Affairs and Policy, University at Albany, Albany, NY 12222, United States"
Lauren Rhue,"New York University, United States"
Arun Sundararajan,"New York University, United States"
Laura Sartori,"Università di Bologna, University of Bologna, Italy"
Michael T. Heaney,"Organizational Studies Program and Department of Political Science, University of Michigan, 722 Dennison Building, 500 Church Street, Ann Arbor, MI 48109, United States"
Justin H. Kirkland,"University of Houston, 447 Phillip Guthrie Hoffman Hall, Houston, TX 77204, United States"
Justin H. Gross,"University of North Carolina at Chapel Hill, United States"
Robert Huckfeldt,"University of California - Davis, United States"
Matthew T. Pietryka,"University of California - Davis, United States"
Jack Reilly,"New College of Florida, United States"
Daniel P. Enemark,"University of Southern California, United States"
Mathew D. McCubbins,"Marshall School of Business, Gould School of Law, Department of Political Science, University of Southern California, United States"
Nicholas Weller,"Department of Political Science, School of International Relations, University of Southern California, United States"
Jason Bello,"Department of Management, London School of Economics and Political Science, UK"
Meredith Rolfe,"Department of Management, London School of Economics and Political Science, UK"
Anand E. Sokhey,"Department of Political Science, University of Colorado, United States"
Paul A. Djupe,"Department of Political Science, Denison University, United States"
Jason M. Smith,"Department of Economics and Finance, Jon M. Huntsman School of Business, Utah State University, Logan, UT 84322, United States"
Virginie Kidwell-Lopez,"Department of Organizations, Strategy and International Management, Naveen Jindal School of Management, The University of Texas at Dallas, Richardson, TX 75080-3021, United States"
Jennifer Golbeck,"Human-Computer Interaction Lab, College of Information Studies, University of Maryland - College Park, College Park, MD, United States"
Derek L. Hansen,"Information Technology, Brigham Young University, Provo, UT, United States"
Richard Heidler,"Department for Education and Social Sciences, Bergische University Wuppertal, Gaußstr. 20, 42097 Wuppertal, Germany"
Florian Eßer,"Institute for Social Pedagogy and Organization Sciences, University of Hildesheim, Lübeckerstraße 3, 31141 Hildesheim, Germany"
Mayukh Dass,"Department of Marketing, Rawls College of Business, MS2101, Texas Tech University, Lubbock, TX 79409, United States"
Dawn Iacobucci,"Owen Graduate School of Management, Vanderbilt University, 401 21st Avenue South, Nashville, TN 37203, United States"
Miruna Petrescu-Prahova,"Department of Health Services, University of Washington, Seattle, WA, USA"
Duy Quang Vu,"Department of Mathematics and Statistics, University of Melbourne, Melbourne, Australia"
Tarik Crnovrsanin,"Department of Computer Science, 2063 Kemper Hall, University of California - Davis, One Shields Avenue, Davis, CA 95616, United States"
Chris Muelder,"Department of Computer Science, 2063 Kemper Hall, University of California - Davis, One Shields Avenue, Davis, CA 95616, United States"
Kwan-Liu Ma,"Department of Computer Science, 2063 Kemper Hall, University of California - Davis, One Shields Avenue, Davis, CA 95616, United States"
Henk Flap,"Utrecht University, The Netherlands"
Brandon Brooks,"Department of Media and Information, Michigan State University, United States"
Bernie Hogan,"Oxford Internet Institute, University of Oxford, United Kingdom"
Nicole B. Ellison,"School of Information, University of Michigan, United States"
Cliff Lampe,"School of Information, University of Michigan, United States"
Jessica Vitak,"College of Information Studies, University of Maryland - College Park, United States"
Alejandro Rivero,"Institute for Biocomputation and Physics of Complex Systems, University of Zaragoza, Spain"
Maria Rosaria D'Esposito,"Department of Economics and Statistics, University of Salerno, Via Ponte don Melillo, 84084 Fisciano (SA), Italy"
Domenico De Stefano,"Department of Economics, Ca' Foscari University of Venice, Cannaregio 873, 30121 Venezia, Italy"
J. C. Barnes,"The University of Texas at Dallas, School of Economic, Political & Policy Sciences, 800 West Campbell Road, Richardson, TX 75080, United States"
Kevin M. Beaver,"Florida State University, College of Criminology and Criminal Justice, 634 West Call Street, Hecht House, Tallahassee, FL 32306, United States"
Michael TenEyck,"The University of Texas at Dallas, School of Economic, Political & Policy Sciences, 800 West Campbell Road, Richardson, TX 75080, United States"
Peter Pal Zubcsek,"Warrington College of Business Administration, University of Florida, Gainesville, FL 32611, United States"
Imran Chowdhury,"Lubin School of Business, Pace University, New York, NY 10038, United States"
Zsolt Katona,"Haas School of Business, University of California - Berkeley, Berkeley, CA 94720-1900, United States"
Murray Aitkin,"Department of Mathematics and Statistics, University of Melbourne, Victoria, Australia"
Brian Francis,"Department of Mathematics and Statistics, Lancaster University, Lancaster LA1 4YL, United Kingdom"
Wei Wang 0211,"University of Central Florida, United States"
Eric J. Neuman,"University of Illinois at Urbana-Champaign, United States"
Daniel A. Newman,"University of Illinois at Urbana-Champaign, United States"
Jeremy M. Koster,"Department of Anthropology, University of Cincinnati, Cincinnati, OH 45221, United States"
George Leckie,"Centre for Multilevel Modelling, Graduate School of Education, University of Bristol, 2 Priory Road, Bristol BS8 1TX, United Kingdom"
David Tuckett,"UCL Centre for the Study of Decision-Making Uncertainty, Faculty of Brain Sciences, University College London, United Kingdom"
Robert Elliott Smith,"UCL Centre for the Study of Decision-Making Uncertainty, Faculty of Brain Sciences, University College London, United Kingdom"
Rickard Nyman,"UCL Centre for the Study of Decision-Making Uncertainty, Faculty of Brain Sciences, University College London, United Kingdom"
Alfredo Jose Morales,"Grupo de Sistemas Complejos, Departamento de Física y Mecánica, Universidad Politécnica de Madrid, Polytechnic University of Madrid, ETSI Agrónomos, 28040 Madrid, Spain"
Javier Borondo,"Grupo de Sistemas Complejos, Departamento de Física y Mecánica, Universidad Politécnica de Madrid, Polytechnic University of Madrid, ETSI Agrónomos, 28040 Madrid, Spain"
Juan Carlos Losada,"Grupo de Sistemas Complejos, Departamento de Física y Mecánica, Universidad Politécnica de Madrid, Polytechnic University of Madrid, ETSI Agrónomos, 28040 Madrid, Spain"
Rosa M. Benito,"Grupo de Sistemas Complejos, Departamento de Física y Mecánica, Universidad Politécnica de Madrid, Polytechnic University of Madrid, ETSI Agrónomos, 28040 Madrid, Spain"
Noah E. Friedkin,"Department of Sociology, University of California - Santa Barbara, United States"
Eugene C. Johnsen,"Department of Mathematics, University of California - Santa Barbara, United States"
David Savage,"School of CS&IT, RMIT University, GPO Box 2476, Melbourne, Victoria 3001, Australia"
Xiuzhen Zhang,"School of CS&IT, RMIT University, GPO Box 2476, Melbourne, Victoria 3001, Australia"
Xinghuo Yu 0001,"School of CS&IT, RMIT University, GPO Box 2476, Melbourne, Victoria 3001, Australia"
Pauline Chou,"School of CS&IT, RMIT University, GPO Box 2476, Melbourne, Victoria 3001, Australia"
Qingmai Wang,"School of CS&IT, RMIT University, GPO Box 2476, Melbourne, Victoria 3001, Australia"
Andrew Shipilov,"INSEAD, Boulevard de Constance, Fontainebleau 77300, France"
Valentyn Kalnysh,"Ukrainian Institute of Public Health, Kyiv, Ukraine"
Yuri Kalnysh,"Ukrainian Academy of Public Service, Kyiv, Ukraine"
Zachary Neal,"Psychology Department, 316 Physics Road, Michigan State University, East Lansing, MI 48824, United States"
Angela Bohn,"Institute for Statistics and Mathematics, Austria"
Christian Buchta,"Institute for Service Marketing and Tourism, Austria"
Kurt Hornik,"Institute for Statistics and Mathematics, Austria"
Patrick Mair,"Institute for Statistics and Mathematics, Austria"
Ferenc Szidarovszky,"Reliasoft Corporation, 1450 South Eastside Loop, Tucson, United States"
Angelo Mondaini Calvão,"School of Applied Mathematics, Getulio Vargas Foundation,Rio de Janeiro, RJ, Brazil"
Crysttian Arantes Paixão,"School of Applied Mathematics, Getulio Vargas Foundation,Rio de Janeiro, RJ, Brazil"
Flávio Codeço Coelho,"School of Applied Mathematics, Getulio Vargas Foundation,Rio de Janeiro, RJ, Brazil"
Renato Rocha Souza,"School of Applied Mathematics, Getulio Vargas Foundation,Rio de Janeiro, RJ, Brazil"
Sam Schramski,"Post-Graduate Program in Amazonian Society and Culture, Federal University of Amazonas, Brazil"
Mark Caudell,"Department of Anthropology, Washington State University, Pullman, WA 99164-4910, United States"
Thomas Rotolo,"Department of Sociology, Washington State University, Pullman, WA 99164-4910, United States"
Mulye Grima,"School of Behavioral Sciences, Hawassa University, Hawassa, SNNPRS 95502, Ethiopia"
Vincent G. Moscardelli,"Department of Political Science, University of Connecticut, United States"
Brian F. Schaffner,"Department of Political Science, University of Massachusetts Amherst, United States"
Michael S. Kowal,"Department of Political Science, University of Massachusetts Amherst, United States"
Martin Hällsten,"Department of Sociology, Stockholm University, Sweden"
Christofer R. Edling,"Department of Sociology, Lund University, Sweden"
Jens Rydgren,"Department of Sociology, Stockholm University, Sweden"
David E. Eagle,"Department of Sociology, Duke University, PO Box 90088, Durham, NC 27708-0088, United States"
Rae Jean Proeschold-Bell,"Duke Global Health Institute, Duke University, PO Box 90392, Durham, NC 27708-0392, United States"
Nadine Tamburrini,"School of Biological Sciences, Royal Holloway University of London, Egham TW20 0EX, UK"
Marco Cinnirella,"Department of Psychology, Royal Holloway University of London, Egham TW20 0EX, UK"
Vincent A. A. Jansen,"School of Biological Sciences, Royal Holloway University of London, Egham TW20 0EX, UK"
John Bryden,"School of Biological Sciences, Royal Holloway University of London, Egham TW20 0EX, UK"
Vontrese Deeds Pamphile,"Northwestern University, United States"
Peter McMahan,"University of Chicago, United States"
Xianbi Huang,"School of Social Sciences and Communications, La Trobe University, Melbourne, Victoria 3086, Australia"
Lei Zhang 0042,"Department of Sociology, University of Minnesota, 267 19th Avenue South, Minneapolis, MN 55455, United States"
Robert Faris,"University of California - Davis, United States"
Alexander G. Nikolaev,"Department of Industrial and Systems Engineering, 438 Bell Hall, State University of New York at Buffalo, Buffalo, NY 14260, United States"
Raihan Razib,"Department of Industrial and Systems Engineering, 438 Bell Hall, State University of New York at Buffalo, Buffalo, NY 14260, United States"
Ashwin Kucheriya,"Department of Industrial and Systems Engineering, 438 Bell Hall, State University of New York at Buffalo, Buffalo, NY 14260, United States"
Pieter-Paul Verhaeghe,"Department of Sociology, Ghent University, Belgium"
Koen Van der Bracht,"Department of Sociology, Ghent University, Belgium"
Bart Van de Putte,"Department of Sociology, Ghent University, Belgium"
Cuihua Shen,"Department of Communication, University of California - Davis, USA"
Wenhong Chen,"Department of Radio-TV-Film, University of Texas at Austin, USA"
Jason Owen-Smith,"University of Michigan, Department of Sociology, #3001 500 S. State St., Ann Arbor, MI 48109-1382, United States"
Natalie C. Cotton-Nessler,"Bentley University, Department of Management, 175 Forest Street, Waltham, MA 02452, United States"
Helena Buhr,"The Northwestern Institute on Complex Systems (NICO), 600 Foster Street, Evanston, IL 60208-4057, United States"
Maria Grazia Vigliotti,"Department of Computing, Imperial College London, South Kensington Campus SW7 2BZ, UK"
Chris Hankin,"Institute of Security and Department of Computing, Imperial College London, South Kensington Campus SW7 2BZ, UK"
Lorien Jasny,"National Socio-Environmental Synthesis Center, 1 Park Place, Suite 300, Annapolis, MD 21401, United States"
Matthew Johnson 0002,"School of Engineering and Computer Science, Durham University, United Kingdom"
Daniël Paulusma,"School of Engineering and Computer Science, Durham University, United Kingdom"
Erik Jan van Leeuwen,"Max Planck Institute, Max-Planck Institut für Informatik, Saarbrücken, Germany"
Todd C. Lehmann,"University of Michigan, United States"
James A. Rolfsen,"Creighton University, United States"
Terry D. Clark,"Creighton University, United States"
Ling Heng Henry Wong,"Victorian Funds Management Corporation & Department of Finance, The University of Melbourne, Australia"
André F. Gygax,"Department of Finance, The University of Melbourne, Australia"
Yuli Patrick Hsieh,"Program on Digital Technology and Society, Survey Research Division, RTI International, United States"
Bart Husslage,"Department of Mathematics, Fontys University of Applied Sciences, P.O. Box 90900, 5000 GA Tilburg, The Netherlands"
Peter Borm,"CentER and Department of Econometrics and Operations Research, Tilburg University, P.O. Box 90153, 5000 LE Tilburg, The Netherlands"
Twan Burg,"CentER and Department of Econometrics and Operations Research, Tilburg University, P.O. Box 90153, 5000 LE Tilburg, The Netherlands"
Herbert Hamers,"CentER and Department of Econometrics and Operations Research, Tilburg University, P.O. Box 90153, 5000 LE Tilburg, The Netherlands"
Roy Lindelauf,"Military Operational Art & Science, Netherlands Defense Academy, P.O. Box 90002, 4800 PA Breda, The Netherlands"
Long Doan,"Indiana University, Department of Sociology, 744 Ballantine Hall, 1020 E. Kirkwood Ave., Bloomington, IN 47405, USA"
Jacob Habinek,"University of California - Berkeley, Department of Sociology, United States"
John Levi Martin,"University of Chicago, Department of Sociology, United States"
Benjamin D. Zablocki,"Rutgers University, Department of Sociology, United States"
Michaela Hoffman,"University of Missouri, Columbia, USA"
Douglas L. Steinley,"University of Missouri, Columbia, USA"
Monika Cerinsek,"Hruška d.o.o., Kajuhova 90, 1000 Ljubljana, Slovenia"
Vladimir Batagelj,"Institute of Mathematics, Physics and Mechanics, Jadranska 19, 1000 Ljubljana, Slovenia"
Xiangju Qin,"School of Computer Science & Informatics, University College Dublin, Dublin 4, Ireland"
Pádraig Cunningham,"School of Computer Science & Informatics, University College Dublin, Dublin 4, Ireland"
Michael Salter-Townshend,"Department of Statistics, University of Oxford, 1 South Parks Road, Oxford OX1 3TG, UK"
Jesse Shore,"Boston University, Questrom School of Business, United States"
Benjamin Lubin,"Boston University, Questrom School of Business, United States"
Katrien Fransen,"Department of Kinesiology, KU Leuven, Tervuursevest 101, Box 1500, 3001 Leuven, Belgium"
Stef Van Puyenbroeck,"Department of Kinesiology, KU Leuven, Tervuursevest 101, Box 1500, 3001 Leuven, Belgium"
Todd M. Loughead,"Department of Kinesiology, University of Windsor, 401 Sunset Avenue, Windsor, Ontario, Canada"
Norbert Vanbeselaere,"Center for Social and Cultural Psychology, KU Leuven, Tiensestraat 102, Box 3727, 3000 Leuven, Belgium"
Bert De Cuyper,"Department of Kinesiology, KU Leuven, Tervuursevest 101, Box 1500, 3001 Leuven, Belgium"
Gert Vande Broek,"Department of Kinesiology, KU Leuven, Tervuursevest 101, Box 1500, 3001 Leuven, Belgium"
Filip Boen,"Department of Kinesiology, KU Leuven, Tervuursevest 101, Box 1500, 3001 Leuven, Belgium"
Robin I. M. Dunbar,"Department of Experimental Psychology, University of Oxford, Oxford, UK"
Valerio Arnaboldi,"Department of Experimental Psychology, University of Oxford, Oxford, UK"
Marco Conti,"Institute of Informatics and Telematics of CNR, Pisa, Italy"
Andrea Passarella,"Institute of Informatics and Telematics of CNR, Pisa, Italy"
Weihua An,
Bálint Néray,"Hungarian Academy of Sciences, Centre for Social Sciences, Institute for Sociology, Hungary"
Feng Shi 0005,"Computation Institute, University of Chicago, 5735 S Ellis Ave, Chicago, IL 60637, USA"
Jacob G. Foster,"Department of Sociology, University of California - Los Angeles, 375 Portola Plaza, Los Angeles, CA 90095, USA"
James A. Evans,"Computation Institute, University of Chicago, 5735 S Ellis Ave, Chicago, IL 60637, USA"
Phillip Bonacich,"Department of Sociology, University of California - Los Angeles, CA 90024, United States"
Paulette Lloyd,"AAAS Fellow and Foreign Affairs Analyst, U.S. Department of State, 2201C Street NW, Washington, DC 20524, United States"
Edward Bishop Smith,"Kellogg School of Management, Northwestern University, United States"
Kyle Emich,"Alfred Lerner College of Business and Economics, University of Delaware, United States"
C. Prem Sankar,"Department of Futures Studies, University of Kerala, Kariavattom, Kerala 695 581, India"
K. Asokan 0002,"Department of Mathematics, College of Engineering, Thiruvananthapuram, Kerala 695 016, India"
K. Satheesh Kumar,"Department of Futures Studies, University of Kerala, Kariavattom, Kerala 695 581, India"
Duy Vu,"University of Melbourne, VIC 3010, Australia"
Andreas Tutic,"Universität Leipzig, University of Leipzig, Institut für Soziologie, Beethovenstraße 15, 04107 Leipzig, Germany"
Harald Wiese,"Universität Leipzig, University of Leipzig, Wirtschaftswissenschaftliche Fakultät, Grimmaische Straße 12, 04109 Leipzig, Germany"
J. Ashwin Rambaran,"Department of Sociology and Interuniversity Center for Social Science Theory and Methodology (ICS), University of Groningen, Grote Rozenstraat 31, 9712 TG Groningen, The Netherlands"
Jan Kornelis Dijkstra,"Department of Sociology and Interuniversity Center for Social Science Theory and Methodology (ICS), University of Groningen, Grote Rozenstraat 31, 9712 TG Groningen, The Netherlands"
Antonius H. N. Cillessen,"Department of Developmental Psychology and Behavioural Science Institute (BSI), Radboud University, Montessorilaan 3, 6500 HE Nijmegen, The Netherlands"
Samira Malek Mohamadi Golsefid,"Department of Industrial Engineering, Amirkabir University of Technology (Polytechnic of Tehran), P.O. Box 15875-4413, Tehran, Iran"
Mohammad Hossein Fazel Zarandi,"Department of Industrial Engineering, Amirkabir University of Technology (Polytechnic of Tehran), P.O. Box 15875-4413, Tehran, Iran"
Susan Bastani,"Department of Sociology, Alzahra University, 19938-93973 Tehran, Iran"
Charles J. Gomez,"Stanford University, 485 Lasuen Mall, Stanford, CA 94305, United States"
Paolo Parigi,"Stanford University, 450 Serra Mall, Building 120, Room 132, Stanford, CA 94305, United States"
Elise Cappella,"Department of Applied Psychology, New York University, United States"
Helian Xu,"School of Economy and Trade, Hunan University, China"
Balázs Kovács,"Yale University, USA"
Chengwei Liu,"University of Warwick, UK"
Beata Lopaciuk-Gonczaryk,"Faculty of Economic Sciences, University of Warsaw, Poland"
Shanfeng Wang,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi'an, Shaanxi Province 710071, China"
Maoguo Gong,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi'an, Shaanxi Province 710071, China"
Haifeng Du,"Center for Administration and Complexity Science, Xi'an Jiaotong University, Xi'an, Shaanxi Province 710049, China"
Lijia Ma,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi'an, Shaanxi Province 710071, China"
Qiguang Miao,"School of Computer, Xidian University, Xi'an, Shaanxi Province 710071, China"
Wei Du 0004,"Center for Administration and Complexity Science, Xi'an Jiaotong University, Xi'an, Shaanxi Province 710049, China"
Emily Hoagland,"Cornell University, Department of Sociology, United States"
Eleonora Patacchini,"Sapienza Universitá di Roma, Sapienza University of Rome, Italy"
Yves Zenou,"Stockholm University and Research Institute of Industrial Economics (IFN), Sweden"
Ning Wang 0013,"University of Oxford, United Kingdom"
Hanno Kruse,"University of Mannheim/MZES (Mannheim Centre for European Social Research) , A5 6, 68131 Mannheim, Germany"
Sanne Smith,"Department of Sociology/ICS, Utrecht University, Padualaan 14, 3584 CH Utrecht, The Netherlands"
Ineke Maas,"Department of Sociology/ICS, Utrecht University, Padualaan 14, 3584 CH Utrecht, The Netherlands"
Sadamori Koujaku,"Graduate School of Information Science and Technology, Hokkaido University, Japan"
Ichigaku Takigawa,"Graduate School of Information Science and Technology, Hokkaido University, Japan"
Mineichi Kudo,"Graduate School of Information Science and Technology, Hokkaido University, Japan"
Hideyuki Imai,"Graduate School of Information Science and Technology, Hokkaido University, Japan"
Linton C. Freeman,"Institute of Mathematical Behavioral Sciences, University of California - Irvine, United States"
Andreas Flache,"University of Groningen/ICS, Netherlands"
Anke Munniksma,"University of Amsterdam, Netherlands"
Hongzhong Deng,"Department of Management, College of Information Systems and Management, National University of Defense Technology, China"
Peter Abell,"Managerial Economics and Strategy Group, Department of Management, London School Economics, London School of Economics and Political Science and Political Science, London School of Economics and Political Science, United Kingdom"
Ofer Engel,"Centre for the Analysis of Time Series, London School Economics and Political Science, London School of Economics and Political Science, United Kingdom"
Jun Wu 0004,"Department of Management, College of Information Systems and Management, National University of Defense Technology, China"
Yuejin Tan,"Department of Management, College of Information Systems and Management, National University of Defense Technology, China"
Richard A. Benton,"University of Illinois, United States"
Molly E. Brown,"Department of Geographical Sciences, University of Maryland - College Park, College Park, MD 20740, United States"
Monica Ihli,"University of Tennessee, Knoxville, TN 37996, United States"
Oscar Hendrick,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Sabrina Delgado-Arias,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Vanessa M. Escobar,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Peter Griffith,"Science Systems and Applications Inc., NASA Goddard Space Flight Center, Code 618, Greenbelt, MD 20771, United States"
Gerald C. Kane,"Department of Information Systems, Carroll School of Management, Boston College, United States"
Eva Huszti,"Faculty of Health, University of Debrecen, Sóstói u. 2-4, H-4400 Nyíregyháza, Hungary"
Ildikó Barna,"Faculty of Social Sciences, Eötvös Loránd University, Pázmány Péter sétány 1/a, H-1117 Budapest, Hungary"
Paola Zappa,"Faculty of Economics and Social Network Analysis Research Center (SoNAR), University of Lugano, Switzerland"
Julia Brennecke,"Centre for Transformative Innovation, Faculty of Business and Law, Swinburne University of Technology, PO Box 218, Mail H25, Hawthorn, VIC 3122, Australia"
Julien Brailly,"Institut de Recherche Interdisciplinaire en Sciences Sociales (IRISSO), Université Paris-Dauphine, University Paris-Dauphine, Place du Maréchal de Lattre de Tassigny, 75016 Paris, France"
Guillaume Favre,"Institut de Recherche Interdisciplinaire en Sciences Sociales (IRISSO), Université Paris-Dauphine, University Paris-Dauphine, Place du Maréchal de Lattre de Tassigny, 75016 Paris, France"
Josiane Chatellet,"Institut de Recherche Interdisciplinaire en Sciences Sociales (IRISSO), Université Paris-Dauphine, University Paris-Dauphine, Place du Maréchal de Lattre de Tassigny, 75016 Paris, France"
Andrew J. Slaughter,"US Army Research Institute for the Behavioral and Social Sciences, USA"
Philippa Pattison,"The University of Sydney, Australia"
Francesca Pallotti,"University of Greenwich, UK"
Laura Prota,"University of Salerno, Department of Statistics and Economics, Via Giovanni Paolo II, 132, 84084 Fisciano, SA, Italy"
Yunsong Chen,"Nanjing University, People's Republic of China"
David Melamed,"The Ohio State University, United States"
Brent Simpson,"University of South Carolina, United States"
Frank van Tubergen,"Utrecht University, Department of Sociology, Padualaan 14, 3584 CH Utrecht, Netherlands"
Obaid Ali Al-Modaf,"Department of Sociology & Social Work, King Abdul Aziz University, Abdullah Suleiman Street, Al Jamiaa District 80200, Saudi Arabia"
Nora F. Almosaed,"Department of Sociology & Social Work, King Abdul Aziz University, Abdullah Suleiman Street, Al Jamiaa District 80200, Saudi Arabia"
Mohammed Ben Said Al-Ghamdi,"Department of Sociology & Social Work, King Abdul Aziz University, Abdullah Suleiman Street, Al Jamiaa District 80200, Saudi Arabia"
Michele L. Barnes,"Department of Natural Resources and Environmental Management, University of Hawaii at Manoa, 1910 East-West Rd., Sherman 101, Honolulu, HI 96822, USA"
Kolter Kalberg,"Joint Institute for Marine and Atmospheric Research, University of Hawaii at Manoa, 1000 Pope Rd., Marine Science Building 312, Honolulu, HI 96822, USA"
Minling Pan,"Pacific Islands Fisheries Science Center, NOAA National Marine Fisheries Service, 1845 Wasp Blvd, Building 176, Honolulu, HI 96818, USA"
PingSun Leung,"Department of Natural Resources and Environmental Management, University of Hawaii at Manoa, 1910 East-West Rd., Sherman 101, Honolulu, HI 96822, USA"
Tso-Jung Yen,"Institute of Statistical Science, Academia Sinica, Taiwan"
Cheng Wang 0010,"Department of Sociology, University of Notre Dame, United States"
Rupa Jose,"Department of Psychology and Social Behavior, University of California - Irvine, United States"
Cynthia M. Lakon,"Program in Public Health, University of California - Irvine, United States"
Zeynep Ertem,"Department of Industrial and Systems Engineering, Texas A&M University, College Station, TX 77843-3131, United States"
Alexander Veremyev,"Department of Industrial and Systems Engineering, University of Florida, Gainesville, FL 32611-6595, United States"
Sergiy Butenko,"Department of Industrial and Systems Engineering, Texas A&M University, College Station, TX 77843-3131, United States"
Sebastian Bähr,"Chair of Sociology and Empirical Social Research – Sociology of the Labour Market, Department of Business and Economics, University of Erlangen-Nuremberg, Findelgasse 7/9, D-90402 Nuremberg, Germany"
Martin Abraham,"Chair of Sociology and Empirical Social Research – Sociology of the Labour Market, Department of Business and Economics, University of Erlangen-Nuremberg, Findelgasse 7/9, D-90402 Nuremberg, Germany"
Olivier Godechot,"Sciences Po, MaxPo, France"
Eugen Pircalabelu,"ORSTAT and Leuven Statistics Research Center, KU Leuven, Naamsestraat 69, 3000 Leuven, Belgium"
Gerda Claeskens,"ORSTAT and Leuven Statistics Research Center, KU Leuven, Naamsestraat 69, 3000 Leuven, Belgium"
Robert A. Hanneman,"University of California - Riverside, United States"
Jürgen Pfeffer,"Technical University of Munich/Bavarian School of Public Policy, Germany"
Avner Bar-Hen,"MAP5, UFR de Mathématiques et Informatique, Université Paris Descartes, University Paris Descartes, 45 rue des Saints-Pères, 75270 Paris cedex 06, France"
Pierre Barbillon,"AgroParisTech/UMR INRA MIA 518, 16 rue Claude Bernard, 75231 Paris Cedex 05, France"
Sophie Donnet,"AgroParisTech/UMR INRA MIA 518, 16 rue Claude Bernard, 75231 Paris Cedex 05, France"
Eric Giannella,"University of California - Berkeley, 410 Barrows Hall, Berkeley, CA 94720-1980, United States"
Anna L. Smith,"Department of Statistics, The Ohio State University, United States"
Catherine A. Calder,"Department of Statistics, The Ohio State University, United States"
Christopher R. Browning,"Department of Sociology, The Ohio State University, United States"
Martin Hilbert,"University of California - Davis, Department of Communication, Kerr Hall 369, Davis, CA 95616, United States"
Poong Oh,"University of Pennsylvania, Annenberg School for Communication, 3620 Walnut Street, Philadelphia, PA 19104, United States"
Peter Monge,"University of Southern California, Annenberg School of Communication, Watt Way, Los Angeles, CA 90007, United States"
Beate Völker,"University of Amsterdam, Department of Sociology, Nieuwe Achtergracht 166, 1018 WV Amsterdam, The Netherlands"
Ruben De Cuyper,"Netherlands Institute for the Study of Crime and Law enforcement (NSCR), The Netherlands"
Gerald Mollenhorst,"Utrecht University, The Netherlands"
Anja Dirkzwager,"Netherlands Institute for the Study of Crime and Law enforcement (NSCR), The Netherlands"
Peter van der Laan,"Netherlands Institute for the Study of Crime and Law enforcement (NSCR), The Netherlands"
Paul Nieuwbeerta,"Netherlands Institute for the Study of Crime and Law enforcement (NSCR), The Netherlands"
Marlène Sapin,"Swiss Center of Expertise in Social Sciences (FORS), University of Lausanne, Switzerland"
Eric D. Widmer,"Department of Sociology, University of Geneva, Switzerland"
Katia Iglesias,"Centre for the Understanding of Social Processes (MAPS), University of Neuchâtel, Switzerland"
Mario Luis Small,"Harvard University, United States"
Christopher Sukhu,"University of Chicago, United States"
Satyam Mukherjee,"Northwestern Institute on Complex Systems (NICO), Northwestern University Evanston, United States"
Matthew Dabkowski,"Department of Systems and Industrial Engineering, University of Arizona, Tucson, United States"
Neng Fan,"Department of Systems and Industrial Engineering, University of Arizona, Tucson, United States"
Ronald L. Breiger,"School of Sociology, University of Arizona, Tucson, United States"
Justus Uitermark,"Department of Sociology, University of Amsterdam, PO Box 15508, 1001 NA Amsterdam, The Netherlands"
Vincent A. Traag,"CWTS, Leiden University, P.O. Box 905, 2300 AX Leiden, The Netherlands"
Michael Mäs,"University of Groningen, The Netherlands"
Karl-Dieter Opp,"University of Leipzig, Germany"
Michele Starnini,"Departament de Física Fonamental,  Universitat de Barcelona, University of Barcelona, University of Barcelona, Martí i Franques 1, 08028 Barcelona, Spain"
Andrea Baronchelli,"Department of Mathematics, City University London, Northampton Square, London EC1V 0HB, UK"
